year,month,policy,cit_injure,cit_female,off_female,cit_black,cit_white,cit_hispanic,off_black,off_white,off_hispanic,co_race_b,co_race_w,co_race_h,co_gen_f
2016,12,1,0.18000001,0.2,0.11,0.60000002,0.18000001,0.19,0.11,0.64999998,0.22,0.43000001,0.37,0.70999998,0.79000002
2016,2,1,0.36614174,0.24015749,0.090551183,0.5905512,0.18503937,0.20472442,0.20472442,0.58267719,0.18897638,0.43307087,0.43700787,0.70078743,0.75590551
2016,1,1,0.26724139,0.14655173,0.11637931,0.47844827,0.18534483,0.32327586,0.15517241,0.60344827,0.20689656,0.52155173,0.4525862,0.63362068,0.80603451
2016,7,1,0.30000001,0.18333334,0.10555556,0.52222222,0.21111111,0.22777778,0.11666667,0.6111111,0.21666667,0.48333332,0.45555556,0.66666669,0.73333335
2016,6,1,0.30526316,0.22105263,0.11578947,0.61052632,0.1631579,0.19473684,0.15263158,0.58947366,0.21052632,0.41578948,0.41578948,0.67894739,0.75789475
2016,3,1,0.20833333,0.15909091,0.10606061,0.61363637,0.11363637,0.25378788,0.16666667,0.625,0.17424242,0.40909091,0.3901515,0.72348487,0.78787881
2016,5,1,0.25688073,0.12844037,0.077981651,0.63302749,0.1880734,0.16972478,0.14678898,0.57339448,0.22477064,0.43119267,0.43119267,0.66972476,0.83027524
2016,11,1,0.27891156,0.1632653,0.10204082,0.5714286,0.23129252,0.19047619,0.12244898,0.6394558,0.19727892,0.49659863,0.44217688,0.69387758,0.78911567
2016,10,1,0.2,0.23529412,0.082352944,0.51764709,0.28823531,0.17058824,0.15294118,0.63529414,0.1882353,0.48235294,0.42941177,0.7352941,0.74117649
2016,9,1,0.26570049,0.19806764,0.091787443,0.58454108,0.20289855,0.1884058,0.072463766,0.65700483,0.22705314,0.4299517,0.37198067,0.68115944,0.76811594
2017,4,1,0.24505928,0.13043478,0.12648222,0.53754944,0.21343873,0.21343873,0.14624506,0.52569169,0.30039525,0.46640316,0.49011856,0.66007906,0.77470356
2017,8,1,0.34412956,0.10121457,0.093117408,0.52631581,0.27125505,0.14574899,0.080971658,0.63967609,0.24291497,0.52226722,0.46153846,0.70040488,0.82995951
2017,12,1,0.22619048,0.19642857,0.11904762,0.58928573,0.23214285,0.17261904,0.13690476,0.51190478,0.26785713,0.45238096,0.42261904,0.65476191,0.76785713
2017,2,1,0.2736842,0.16842106,0.13157895,0.50526315,0.20526315,0.25263157,0.15263158,0.57368422,0.24210526,0.54210526,0.48421052,0.67368424,0.74210525
2017,1,1,0.19626169,0.13084112,0.13551402,0.53271025,0.19158879,0.25700936,0.14485981,0.56074768,0.27102804,0.52803737,0.42523363,0.60280377,0.76168227
2017,7,1,0.40888888,0.17333333,0.12,0.53777778,0.23111111,0.22222222,0.079999998,0.63999999,0.26222223,0.45333335,0.42222223,0.63999999,0.80444443
2017,6,1,0.31578946,0.13360325,0.12145749,0.52226722,0.21052632,0.22267206,0.15384616,0.58704454,0.21862349,0.46963564,0.41295546,0.6963563,0.84210527
2017,3,1,0.26732674,0.21452145,0.11551155,0.57425743,0.20462047,0.20792079,0.15181518,0.58745873,0.2310231,0.45214522,0.43894389,0.66666669,0.76237625
2017,5,1,0.26249999,0.16249999,0.11666667,0.55416667,0.21666667,0.20833333,0.095833331,0.59166664,0.24166666,0.47499999,0.46666667,0.66666669,0.79583335
2017,11,1,0.2583732,0.14354067,0.095693782,0.52153111,0.27751195,0.1770335,0.11961722,0.59808612,0.2583732,0.4832536,0.5167464,0.67942584,0.80861247
2017,10,1,0.2857143,0.25510204,0.086734697,0.59183675,0.19897959,0.19387755,0.091836736,0.62755102,0.23979592,0.42857143,0.46938777,0.66836733,0.71938777
2017,9,1,0.28723404,0.20744681,0.11170213,0.48404256,0.18085106,0.29255319,0.10106383,0.64893615,0.22872341,0.53191489,0.39361703,0.65957445,0.76595747
2018,4,1,0.27731094,0.19747899,0.079831935,0.55042017,0.15546219,0.26050422,0.092436977,0.63865548,0.21008404,0.44117647,0.36554623,0.66386557,0.7647059
2018,8,1,0.40845069,0.22535211,0.13615024,0.53051645,0.21596244,0.19248827,0.15023474,0.52112675,0.25821596,0.51643193,0.50704223,0.71830988,0.75117373
2018,12,1,0.2062937,0.16433567,0.10839161,0.53496504,0.18881118,0.25874126,0.15034965,0.5804196,0.2062937,0.48951048,0.45454547,0.63986015,0.78321677
2018,2,1,0.15384616,0.22527473,0.0989011,0.44505495,0.31868133,0.18681319,0.10989011,0.56593406,0.27472529,0.58791208,0.46703297,0.65934068,0.75274724
2018,1,1,0.25714287,0.18095239,0.1,0.52380955,0.26190478,0.2,0.13333334,0.55714285,0.23809524,0.52380955,0.47619048,0.66666669,0.80476189
2018,7,1,0.33766234,0.15151516,0.12554112,0.54545456,0.1991342,0.20779221,0.12987013,0.58441556,0.23376623,0.48051947,0.44155845,0.66233766,0.78354979
2018,6,1,0.2521739,0.23043478,0.10434783,0.54347825,0.22608696,0.19565217,0.13478261,0.5826087,0.25652173,0.47826087,0.46956521,0.63478261,0.76956522
2018,3,1,0.29777777,0.19111112,0.088888891,0.60000002,0.15111111,0.20888889,0.16888888,0.56444442,0.21333334,0.43555555,0.50666666,0.67555553,0.79111111
2018,5,1,0.35784313,0.18627451,0.10784314,0.54901963,0.20588236,0.20588236,0.16176471,0.56862748,0.20588236,0.50490195,0.46078432,0.70588237,0.77450979
2018,11,1,0.280543,0.17194571,0.06334842,0.50678736,0.30316743,0.16289593,0.13122173,0.53393668,0.26244345,0.50678736,0.50678736,0.67420816,0.80995476
2018,10,1,0.35838151,0.24277456,0.075144507,0.55491328,0.22543353,0.19075145,0.15606937,0.52601159,0.23699422,0.49710983,0.53757226,0.69942194,0.73988438
2018,9,1,0.21126761,0.22065727,0.10798122,0.56807512,0.25352111,0.14553991,0.12676056,0.55868542,0.23004694,0.45539907,0.49765259,0.69953054,0.72769952
2019,4,1,0.2326389,0.18055555,0.12152778,0.6111111,0.25,0.11458334,0.11111111,0.58680558,0.25347221,0.40277779,0.37152779,0.6736111,0.73958331
2019,8,1,0.25943395,0.13207547,0.13679245,0.51886791,0.26415095,0.20754717,0.16509435,0.55660379,0.21698113,0.48584905,0.47169811,0.67924529,0.76886791
2019,12,1,0.2264151,0.13207547,0.084905662,0.56603771,0.2264151,0.17924528,0.084905662,0.67924529,0.17924528,0.44339624,0.47169811,0.7735849,0.78301889
2019,2,1,0.23904383,0.17928287,0.13147411,0.58964145,0.22709164,0.15936255,0.13147411,0.58565736,0.23505977,0.47011954,0.50597608,0.70916337,0.75298804
2019,1,1,0.23387097,0.14919356,0.11693548,0.45967743,0.26612905,0.24596775,0.080645159,0.64516127,0.2016129,0.56451613,0.48387095,0.68951613,0.7903226
2019,7,1,0.28057554,0.14748201,0.053956833,0.54676259,0.19784173,0.22661871,0.15827338,0.52158272,0.2769784,0.46762589,0.51079136,0.66906476,0.82014388
2019,6,1,0.28716215,0.14527027,0.1418919,0.51013511,0.2331081,0.23986487,0.12162162,0.5641892,0.27702704,0.49662161,0.5,0.63851351,0.77364862
2019,3,1,0.25877193,0.15350877,0.10526316,0.50877196,0.21491228,0.24561404,0.12280702,0.57456142,0.25,0.48245615,0.4649123,0.62719297,0.77631581
2019,5,1,0.20875421,0.14814815,0.15151516,0.50841749,0.22558923,0.23905724,0.12457912,0.53872055,0.27272728,0.52861953,0.45117846,0.63636363,0.76094276
2019,11,1,0.18181819,0.05050505,0.13636364,0.55555558,0.16666667,0.26262626,0.11111111,0.64141417,0.1969697,0.4848485,0.4040404,0.66161615,0.83333331
2019,10,1,0.19512194,0.18048781,0.073170729,0.6195122,0.21951219,0.15121952,0.11707317,0.53170735,0.30243903,0.40975609,0.45365855,0.62439024,0.78536588
2019,9,1,0.18387097,0.16129032,0.093548387,0.47096774,0.13870968,0.36451614,0.1,0.59354836,0.26451612,0.51290321,0.43548387,0.57741934,0.783871
